Id,SalePrice
1460,147540.48
1461,127627.32
1462,164145.88
1463,187644.58
1464,192335.97
1465,204023.05
1466,172446.55
1467,169954.23
1468,170740.17
1469,176967.39
1470,120485.664
1471,205946.1
1472,98665.6
1473,101748.734
1474,152490.11
1475,141921.53
1476,447065.0
1477,267016.12
1478,315502.94
1479,237084.23
1480,506677.88
1481,323082.47
1482,204828.36
1483,168988.66
1484,168920.19
1485,176933.67
1486,197607.28
1487,357874.12
1488,234949.66
1489,212549.2
1490,204519.25
1491,182587.56
1492,88726.16
1493,192497.28
1494,293209.62
1495,284205.53
1496,249663.3
1497,186857.1
1498,156408.94
1499,156801.72
1500,148426.02
1501,182580.89
1502,169687.9
1503,323724.25
1504,229909.14
1505,222783.3
1506,194154.45
1507,243469.08
1508,212753.92
1509,165754.34
1510,147156.97
1511,144628.33
1512,170648.5
1513,152956.19
1514,163783.12
1515,180442.06
1516,152076.86
1517,157786.16
1518,126879.98
1519,223914.39
1520,139125.86
1521,139116.6
1522,166496.8
1523,117062.38
1524,121954.22
1525,124151.69
1526,123527.055
1527,98039.945
1528,130959.695
1529,144449.64
1530,169216.95
1531,113669.15
1532,100214.01
1533,150886.08
1534,116523.984
1535,164385.98
1536,116883.664
1537,70653.3
1538,179045.9
1539,162116.08
1540,101225.04
1541,153958.45
1542,152723.53
1543,216234.33
1544,84694.66
1545,108561.805
1546,129838.59
1547,134543.47
1548,133348.77
1549,114755.45
1550,146253.52
1551,112816.91
1552,135807.98
1553,138355.69
1554,120060.12
1555,173487.89
1556,84977.63
1557,109785.85
1558,92597.65
1559,84111.69
1560,136107.66
1561,154064.22
1562,128867.586
1563,123541.53
1564,153034.61
1565,154222.36
1566,213385.4
1567,73581.234
1568,239865.78
1569,154558.72
1570,131300.4
1571,128039.414
1572,143373.16
1573,246799.16
1574,110201.93
1575,205934.75
1576,232725.7
1577,207608.69
1578,156496.39
1579,140010.31
1580,186131.52
1581,153661.52
1582,126939.29
1583,345089.53
1584,235692.64
1585,141267.27
1586,72011.25
1587,94815.2
1588,158617.8
1589,99516.63
1590,133310.62
1591,95339.49
1592,130112.03
1593,120731.53
1594,133333.98
1595,106554.75
1596,250770.38
1597,168528.5
1598,206450.08
1599,201358.69
1600,191327.78
1601,68546.46
1602,112554.836
1603,84235.71
1604,277753.4
1605,241902.27
1606,173264.77
1607,162324.22
1608,213873.88
1609,197818.33
1610,164121.78
1611,141729.78
1612,148429.52
1613,157078.64
1614,120146.21
1615,94077.52
1616,77461.55
1617,89958.21
1618,128940.49
1619,135994.95
1620,153078.4
1621,133784.06
1622,140930.1
1623,300571.66
1624,229700.0
1625,128480.36
1626,162811.64
1627,190193.1
1628,262562.84
1629,178653.89
1630,393836.97
1631,223782.6
1632,252090.56
1633,176172.94
1634,184217.98
1635,181696.02
1636,159371.22
1637,173158.77
1638,207805.34
1639,179732.28
1640,252721.75
1641,179617.86
1642,236036.36
1643,219208.12
1644,235794.92
1645,188541.11
1646,161777.84
1647,155375.3
1648,134032.08
1649,142678.4
1650,115316.65
1651,121784.29
1652,94565.445
1653,93882.78
1654,151568.52
1655,156806.12
1656,149065.52
1657,155411.0
1658,147102.88
1659,147237.02
1660,156427.22
